ticker,event_date,drug_name,nct_id,target_large_move,feat_asset_event_sequence_num,feat_asset_trial_share,feat_cash_runway_proxy,feat_company_event_sequence_num,feat_days_to_primary_completion,feat_design_quality_score,feat_enrollment_log,feat_lead_asset_dependency_score,feat_log_market_cap,feat_n_trials_for_company,feat_n_unique_drugs_for_company,feat_phase_num,feat_pipeline_depth_score,feat_pivotal_proxy_score,feat_regulatory_stage_score,feat_time_since_last_asset_event,feat_time_since_last_company_event,feat_trial_quality_score,feat_volatility,feat_active_not_recruiting_flag,feat_blinded_flag,feat_breakthrough_flag,feat_cns_flag,feat_completed_flag,feat_fast_track_flag,feat_late_stage_flag,feat_nda_bla_flag,feat_oncology_flag,feat_open_label_flag,feat_orphan_flag,feat_ownership_low_flag,feat_primary_completion_imminent_30d,feat_primary_completion_imminent_90d,feat_randomized_flag,feat_rare_disease_flag,feat_recent_asset_event_flag,feat_recent_company_event_flag,feat_recent_completion_flag,feat_short_squeeze_flag,feat_single_asset_company_flag,feat_small_trial_flag,feat_mesh_level1_encoded,feat_therapeutic_superclass_CNS,feat_therapeutic_superclass_Cardiovascular,feat_therapeutic_superclass_Dermatology,feat_therapeutic_superclass_Endocrine/Metabolic,feat_therapeutic_superclass_GI/Hepatology,feat_therapeutic_superclass_Immunology,feat_therapeutic_superclass_Infectious Disease,feat_therapeutic_superclass_Musculoskeletal,feat_therapeutic_superclass_Oncology,feat_therapeutic_superclass_Other,feat_therapeutic_superclass_Respiratory,feat_event_proximity_bucket_future_far,feat_event_proximity_bucket_future_near,feat_event_proximity_bucket_just_completed,feat_event_proximity_bucket_past,feat_event_proximity_bucket_unknown,feat_completion_recency_bucket_far_180_plus,feat_completion_recency_bucket_imminent_0_30,feat_completion_recency_bucket_medium_91_180,feat_completion_recency_bucket_near1_90,feat_completion_recency_bucket_past,feat_completion_recency_bucket_unknown,split
PALI,2025-09-17,PALI-2108,NCT07428096,0,5,1.0,0.0197,5,135.0,0.0,1.9459101490553132,1.0,2.4217684012069243,7,1,1.0,0.2773,0.0,0,41.0,41.0,1.0,11.01,1.0,1,0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,1,1.0,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,val
LLY,2025-09-19,Tirzepatide Dose 1,NCT05260021,0,1,0.0345,0.0073,24,-416.0,3.0,4.605170185988092,0.2,5.996687893411713,29,15,3.0,4.109,2.0,0,156.5,42.0,4.0,2.74,0.0,1,0,0,1.0,0,1.0,0,0,1,0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0,0.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,val
MBX,2025-09-22,canvuparatide,,1,1,0.5,0.268,2,0.0,3.0,5.303304908059076,0.7,3.1648285343444815,2,2,2.0,0.4394,0.0,0,156.5,406.0,4.0,12.07,0.0,0,0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,val
IONS,2025-09-22,zilganersen,NCT04849741,0,1,0.1429,0.1718,7,-31.0,3.0,4.007333185232471,0.2,4.11578153344747,7,6,3.0,3.1784,2.0,0,156.5,214.0,4.0,3.18,1.0,1,0,1,0.0,0,1.0,0,0,0,0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,val
QURE,2025-09-24,AMT-130,NCT04120493,1,3,1.0,2.0568,3,1346.0,-1.0,3.784189633918261,1.0,2.108903127667314,4,1,1.5,0.2773,1.5,2,442.0,442.0,0.0,6.16,1.0,1,0,1,0.0,0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1.0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,val
QURE,2025-09-24,AMT-130,NCT04120493,1,4,1.0,2.0568,4,1346.0,-1.0,3.784189633918261,1.0,2.108903127667314,4,1,1.5,0.2773,1.5,2,0.0,0.0,0.0,6.16,1.0,1,0,1,0.0,0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,1,1.0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,val
PEPG,2025-09-25,PGN-EDODM1,NCT06204809,1,1,0.6667,0.3828,2,33.0,2.0,3.218875824868201,0.7,2.6310376965367404,3,2,1.0,0.4394,0.0,0,156.5,422.0,3.0,13.03,0.0,0,0,1,1.0,0,0.0,0,0,0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,val
MLTX,2025-09-29,sonelokimab,NCT06641076,1,2,0.6667,0.3176,3,493.0,5.0,6.8679744089702925,0.7,3.093596768608228,3,2,3.0,1.0394,2.0,0,827.0,826.0,6.0,5.17,1.0,1,0,0,0.0,0,1.0,0,0,0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,val
KALA,2025-09-29,KPI-012,NCT05727878,1,4,1.0,0.6873,4,0.0,3.0,4.6443908991413725,1.0,1.4871383754771863,5,1,2.0,0.2773,1.5,2,917.0,917.0,1.0,8.02,0.0,0,0,1,0.0,0,0.0,1,0,0,0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,test
KALA,2025-09-29,KPI-012,NCT05727878,1,5,1.0,0.6873,5,0.0,3.0,4.6443908991413725,1.0,1.4871383754771863,5,1,2.0,0.2773,1.5,2,0.0,0.0,1.0,10.74,0.0,0,0,1,0.0,0,0.0,1,0,0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,1,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,test
