ticker,event_date,drug_name,nct_id_found,result,rejection_reason,queries_tried,final_candidates
MREO,2025-12-29,setrusumab (UX143),NCT05125809,best_match,,1,3
ACRS,2023-11-13,zunsemetinib,NCT05279417,best_match,,1,3
KZIA,2024-07-11,paxalisib,NCT03970447,best_match,,1,5
PALI,2024-01-29,PALI-2108,NCT07428096,best_match,,1,2
SPRB,2024-03-14,tralesinidase alfa (TA-ERT),,no_candidates,No trials found for 'tralesinidase alfa (TA-ERT)' or variations ['tralesinidase'],2,0
CYTK,2023-12-27,aficamten,NCT06081894,best_match,,1,5
RLMD,2025-04-23,NDV-01,NCT07313891,best_match,,1,3
AMLX,2024-03-08,AMX0035 (Relyvrio),NCT05619783,single_match,,1,1
TIL,2024-09-13,"BRG01, BST02, BRL03",NCT05864924,single_match,,2,1
ELTX,2023-06-02,ELI-002,NCT05726864,best_match,,1,2
NMRA,2025-01-02,navacaprant,NCT06058039,best_match,,1,3
AVTX,2023-09-13,AVTX-002,NCT05288504,best_match,,1,1
VTYX,2023-11-07,VTX958,NCT05655299,best_match,,1,3
HURA,2023-10-31,VAL-083,NCT03970447,best_match,,1,1
KRRO,2025-11-13,KRRO-110,NCT06677307,single_match,,1,1
MESO,2024-03-26,ADI-PEG 20 (pegargiminase),NCT06034977,best_match,,1,5
LONA,2024-09-04,laromestrocel,,no_candidates,No trials found for 'laromestrocel',1,0
SPRY,2023-05-12,,,no_drug_name,No drug name provided and no ticker fallback available,0,0
MLTX,2023-06-26,sonelokimab,NCT03384745,best_match,,1,3
RLMD,2024-12-04,REL-1017,NCT04855760,best_match,,1,5
BIOA,2024-12-09,azelaprag,NCT06515418,best_match,,1,1
CPIX,2025-02-04,ifetroban,NCT02682511,best_match,,1,2
ORMP,2023-01-12,ORMD-0801,NCT06731075,best_match,,1,4
ANVS,2024-07-02,buntanetap,NCT06709014,best_match,,1,4
OVID,2024-06-17,soticlestat,NCT05163314,best_match,,1,2
QTTB,2024-12-11,bempikibart,NCT06018428,single_match,,1,1
ARMP,2025-05-19,AP-SA02,NCT05184764,single_match,,1,1
QTTB,2025-12-01,bempikibart,NCT06018428,single_match,,1,1
WVE,2024-10-16,WVE-006,NCT06186492,best_match,,1,1
ENGN,2023-10-24,ENGN (EG-70/detalimogene voraplasmid),NCT04752722,best_match,,2,1
MIRA,2023-11-15,sonelokimab,NCT03384745,best_match,,1,3
GLTO,2023-08-15,GB0139,NCT03832946,single_match,,1,1
VTYX,2025-10-23,VTX3232,NCT06771115,best_match,,1,2
TARA,2024-12-05,TARA-002,NCT05951179,best_match,,1,3
GHRS,2025-02-03,GH001,NCT05800860,best_match,,1,4
VKTX,2023-03-28,VK2735,NCT05203237,best_match,,1,1
LYEL,2025-06-04,LYL273,,no_candidates,No trials found for 'LYL273',1,0
PALI,2024-12-12,PALI-2108,NCT07428096,best_match,,1,2
OM,2024-08-08,,,no_drug_name,No drug name provided and no ticker fallback available,0,0
PETS,2025-12-11,OKV-119,,no_candidates,No trials found for 'OKV-119' or variations ['OKV-119'],2,0
CADL,2024-12-11,CAN-2409,NCT01436968,best_match,,1,5
PEPG,2025-02-24,PGN-EDODM1,NCT06204809,best_match,,1,1
ALDX,2023-10-16,reproxalap,NCT03879863,best_match,,1,5
PRAX,2023-03-03,ulixacaltamide (PRAX-944),NCT06087276,single_match,,1,1
MIRA,2024-03-08,sonelokimab,NCT06641076,best_match,,1,5
IXHL,2025-07-18,IHL-42X,NCT06146101,best_match,,1,1
IMMP,2023-05-17,eftilagimod alpha (efti),NCT05747794,best_match,,1,2
VERA,2023-01-04,atacicept,NCT04716231,best_match,,1,5
KALA,2023-03-03,KPI-012,NCT05727878,single_match,,1,1
CRDF,2024-03-01,onvansertib,NCT06106308,best_match,,1,5
ENGN,2023-12-04,EG-70 (detalimogene voraplasmid),NCT04752722,best_match,,2,1
CRNX,2023-09-11,paltusotine,NCT07087054,best_match,,1,1
ADCT,2023-12-13,ZYNLONTA,NCT05672251,best_match,,1,5
ADCT,2024-12-06,ZYNLONTA,NCT04970901,best_match,,1,5
