ticker,event_date,event_trading_date,nct_id,title,phase,sponsor,conditions,enrollment,interventions,market_cap_m,move_pct,move_2d_pct,price_before,price_after,move_class,event_type,catalyst_type,price_error
BNTX,2025-07-15,2025-07-15,NCT06683352,A Study to Learn About Flu and COVID-19 Vaccine Responses in Healthy People,PHASE1/PHASE2,BioNTech SE,"Influenza,Human; COVID-19",1353,Investigational Influenza Vaccine; COVID-19 Vaccine; Influenza and COVID Combination Vaccine,,-0.32,1.34,111.0,110.65,Low,Loser,Clinical Data,
RHHBY,2016-07-04,2016-07-05,NCT02108652,A Study of Atezolizumab in Participants With Locally Advanced or Metastatic Urothelial Bladder Cancer (Cohort 2),PHASE2,Hoffmann-La Roche,Bladder Cancer,310,Atezolizumab,,-2.1,-1.43,24.34,23.83,Low,Loser,Clinical Data,
MNOV,2022-06-30,2022-06-30,NCT04429555,"Efficacy, Safety, Tolerability, and Biomarkers of Ibudilast (MN-166) in Patients Hospitalized With COVID-19 at Risk for ARDS",PHASE2,MediciNova,"Pneumonia, Viral",34,Ibudilast; Placebo,71.3,-0.78,-3.14,2.55,2.53,Low,Loser,Clinical Data,
ABBV,2025-02-24,2025-02-24,NCT06151535,A Study to Evaluate the Safety and Effectiveness of ELAPR002f Injectable Gel for the Improvement of Skin Quality in Adult Participants,PHASE2,AbbVie,Skin Quality Deficit,30,ELAPR002f Injectable Gel,,0.99,1.02,195.52,197.46,Low,Gainer,Clinical Data,
PFE,2025-01-03,2025-01-03,NCT06857617,"This Study Will Investigate the Safety, Tolerability, Pharmacokinetics, and Efficacy of MET097 in Adult Participants With Overweight or Obesity",PHASE1/PHASE2,"Metsera, a wholly owned subsidiary of Pfizer",Obesity and Overweight,120,(Part C) MET097; (Part C) Placebo,,-0.08,1.05,24.41,24.39,Low,Loser,Clinical Data,
NAMS,2023-05-09,2023-05-09,NCT05161715,"Proof-of-concept, Open-label Study in Patients With Early Alzheimer's Disease",PHASE2,NewAmsterdam Pharma,Early Alzheimer's Disease,13,Obicetrapib,4077.0,-1.31,-0.22,13.78,13.6,Low,Loser,Clinical Data,
TNXP,2023-10-08,2023-10-09,NCT05679908,A Study to Evaluate the Efficacy and Safety of TNX-1900 in Patients With Chronic Migraine,PHASE2,"Tonix Pharmaceuticals, Inc.","Chronic Migraine; Chronic Migraine, Headache; Chronic Migraine Without Aura; Aura Migraine",88,TNX-1900; Placebo Nasal Spray,178.6,1.79,3.57,1792.0,1824.0,Low,Gainer,Clinical Data,
NRC,2023-12-19,2023-12-19,NCT03127215,Study of Olaparib/Trabectedin vs. Doctor's Choice in Solid Tumors,PHASE2,"National Center for Tumor Diseases, Heidelberg",Cancers With DNA Repair-Deficiency,102,Olaparib; Physician's choice; Trabectedin,303.8,-0.88,-0.85,37.67,37.34,Low,Loser,Clinical Data,
PFE,2024-01-05,2024-01-05,NCT04440176,A Trial to Describe the Safety and Immunogenicity of MenABCWY When Administered on 2 Schedules,PHASE2,Pfizer,Meningococcal Vaccine,309,MenABCWY; Saline,,1.31,1.68,25.14,25.47,Low,Gainer,Clinical Data,
VKTX,2023-05-15,2023-05-15,NCT04173065,A Study to Assess the Efficacy and Safety of VK2809 for 52 Weeks in Subjects With Biopsy Proven NASH,PHASE2,"Viking Therapeutics, Inc.",NASH - Nonalcoholic Steatohepatitis,248,VK2809; Placebos,3910.4,-2.4,9.39,22.53,21.99,Low,Loser,Clinical Data,
ENTA,2023-02-08,2023-02-08,NCT05616728,A Study to Evaluate EDP-235 in Non-hospitalized Adults With COVID-19,PHASE2,"Enanta Pharmaceuticals, Inc",COVID-19,231,EDP-235; Placebo,415.0,-3.54,-2.8,54.59,52.66,Low,Loser,Clinical Data,
NRC,2023-04-10,2023-04-10,NCT03222492,Brentuximab Vedotin for Systemic Sclerosis,PHASE1/PHASE2,National Institute of Allergy and Infectious Diseases (NIAID),Diffuse Cutaneous Systemic Sclerosis; Scleroderma; dcSSc,17,Brentuximab Vedotin; Placebo,303.8,4.48,3.47,39.99,41.79,Low,Gainer,Clinical Data,
NRC,2024-06-04,2024-06-04,NCT03315871,Combination Immunotherapy in Biochemically Recurrent Prostate Cancer,PHASE2,National Cancer Institute (NCI),Prostate Cancer,40,Antigen direct immunotherapy: PROSTVAC-V; Antigen direct immunotherapy: PROSTVAC-F; MSB0011359C (M7824),303.8,0.22,-2.37,26.51,26.57,Low,Gainer,Clinical Data,
MRK,2024-12-12,2024-12-12,NCT06045507,Safety and Pharmacokinetic Study of Oral MK-8527 QM in Participants at Low-Risk for HIV-1 Infection (MK-8527-007),PHASE2,Merck Sharp & Dohme LLC,HIV; HIV Pre-exposure Prophylaxis,352,MK-8527; Placebo to MK-8527,,1.5,2.26,95.37,96.81,Low,Gainer,Clinical Data,
MRNA,2025-06-27,2025-06-27,NCT06097299,"A Study of mRNA-1345, an mRNA Vaccine Targeting Respiratory Syncytial Virus, in Children 2 to <18 Years of Age at High Risk of Respiratory Syncytial Virus",PHASE2,"ModernaTX, Inc.",Respiratory Syncytial Virus,346,mRNA-1345; Placebo,,-1.38,0.18,27.54,27.16,Low,Loser,Clinical Data,
NRC,2018-12-04,2018-12-04,NCT03382834,Selective Estrogen Receptor Modulators to Enhance the Efficacy of Viral Reactivation With Histone Deacetylase Inhibitors,PHASE2,National Institute of Allergy and Infectious Diseases (NIAID),HIV Infections,31,Tamoxifen; Vorinostat; Antiretroviral drugs,303.8,0.56,0.79,33.51,33.69,Low,Gainer,Clinical Data,
REGN,2024-11-19,2024-11-19,NCT06454630,A Trial to Learn How Well REGN7508 Works for Preventing Blood Clots After a Knee Replacement in Adult Participants,PHASE2,Regeneron Pharmaceuticals,Venous Thromboembolism,179,REGN7508; Enoxaparin,,-2.28,-2.45,756.89,739.6,Low,Loser,Clinical Data,
NRC,2020-09-30,2020-09-30,NCT01092182,Phase II Study of Dose-Adjusted EPOCH-Rituximab in Adults With Untreated Burkitt Lymphoma and c-MYC+ Diffuse Large B-Cell Lymphoma,PHASE2,National Cancer Institute (NCI),"Burkitt Lymphoma; Diffuse Large B-cell Lymphoma, c-MYC Positive; Plasmablastic Lymphoma",194,EPOCH-R; EPOCH-RR,303.8,0.02,3.25,43.69,43.7,Low,Gainer,Clinical Data,
MLTX,2023-09-05,2023-09-05,NCT05640245,Evaluation of Sonelokimab for the Treatment of Patients With Active Psoriatic Arthritis,PHASE2,MoonLake Immunotherapeutics AG,"Arthritis, Psoriatic",207,Sonelokimab; Placebo; Adalimumab,1240.5,-6.36,-7.29,53.93,50.5,Medium,Loser,Clinical Data,
AZN,2016-06-03,2016-06-03,NCT02087423,A Global Study to Assess the Effects of MEDI4736 (Durvalumab) in Patients With Locally Advanced or Metastatic Non Small Cell Lung Cancer,PHASE2,AstraZeneca,Non-Small Cell Lung Cancer,446,MEDI4736,,0.2,0.67,44.57,44.66,Low,Gainer,Clinical Data,
HCM,2023-04-25,2023-04-25,NCT05093322,"A Study of Surufatinib in Combination With Gemcitabine in Pediatric, Adolescent, and Young Adult Patients With Recurrent or Refractory Solid Tumors",PHASE1/PHASE2,Hutchmed,Solid Tumor; Lymphoma; Osteosarcoma; Ewing Sarcoma; Rhabdomyosarcoma; Non-rhabdomyosarcoma Soft Tissue Sarcoma (NRSTS),13,Surufatinib in combination with Gemcitabine,2588.0,-10.83,-8.94,16.34,14.57,Medium,Loser,Clinical Data,
