ticker,event_date,market_cap_m,move_pct,close,volume,atr_pct,normalized_move,event_type,catalyst_type,abs_move
ARQT,2025-10-28,3303.6,27.04,24.95,12063200,4.97,5.44,Gainer,,27.04
SGMT,2023-11-17,185.7,27.04,2.96,196300,18.32,1.48,Gainer,,27.04
GANX,2025-11-10,100.4,27.04,2.49,3244700,7.46,3.63,Gainer,,27.04
CADL,2024-05-24,288.2,-27.03,7.8,5194700,21.37,1.27,Loser,,27.03
PMN,2024-01-19,50.6,27.01,55.25,7024,19.68,1.37,Gainer,,27.01
CLYM,2025-12-15,487.5,27.0,3.81,22544800,8.2,3.29,Gainer,,27.0
LXEO,2025-05-06,524.0,-26.97,3.25,1764700,19.76,1.36,Loser,,26.97
DWTX,2024-10-09,91.4,-26.97,2.83,190300,22.92,1.18,Loser,,26.97
IXHL,2024-03-19,50.6,-26.97,78.0,14893,27.45,0.98,Loser,,26.97
ONMD,2024-07-30,52.2,26.96,1.46,3165200,10.96,2.46,Gainer,,26.96
DWTX,2023-03-06,91.4,26.96,10.12,61368,9.08,2.97,Gainer,,26.96
SIGA,2024-08-14,463.3,26.94,10.84,13152200,7.67,3.51,Gainer,,26.94
EDAP,2023-11-09,163.4,-26.94,5.26,415500,10.51,2.56,Loser,,26.94
NKTR,2024-04-04,1930.0,26.92,19.8,743827,6.49,4.15,Gainer,,26.92
HYFT,2025-07-24,52.8,26.92,2.31,5299700,13.11,2.05,Gainer,,26.92
ELMD,2024-02-14,197.7,26.92,12.87,125800,4.03,6.68,Gainer,,26.92
ORKA,2025-09-29,1665.8,26.91,19.29,1349800,7.85,3.43,Gainer,,26.91
CABA,2024-11-29,319.6,26.91,3.82,17976600,14.49,1.86,Gainer,,26.91
OGN,2025-05-01,1897.7,-26.91,9.36,31044800,8.31,3.24,Loser,,26.91
SYRE,2023-06-21,3378.0,-26.9,2.65,148408,13.75,1.96,Loser,,26.9
MAIA,2024-01-05,83.7,26.89,1.51,1160300,7.99,3.37,Gainer,,26.89
ENTX,2023-03-29,63.7,26.88,1.35,350200,7.97,3.37,Gainer,,26.88
LNTH,2023-12-18,5093.4,-26.88,55.6,9242300,8.81,3.05,Loser,,26.88
ANNX,2025-11-19,834.7,26.87,4.06,10650500,7.61,3.53,Gainer,,26.87
AGL,2025-04-17,244.3,-26.87,4.0,22413600,15.19,1.77,Loser,,26.87
GLTO,2025-03-25,1781.9,-26.87,4.9,626200,13.93,1.93,Loser,,26.87
RNAC,2024-10-03,197.4,26.85,22.82,506900,7.59,3.54,Gainer,,26.85
IOVA,2025-07-23,1532.3,26.84,3.97,110321100,8.17,3.29,Gainer,,26.84
CRVS,2023-05-15,1529.6,26.83,2.6,3328700,10.07,2.67,Gainer,,26.83
NRXS,2023-09-11,63.9,26.83,5.2,76400,13.02,2.06,Gainer,,26.83
GYRE,2024-02-29,793.8,-26.83,18.14,171300,18.31,1.47,Loser,,26.83
WHWK,2024-03-04,165.4,26.82,2.43,3894100,5.64,4.76,Gainer,,26.82
ZNTL,2024-06-20,154.8,26.81,5.25,8060700,21.12,1.27,Gainer,,26.81
INBX,2024-05-30,1078.1,26.81,15.86,725600,,,Gainer,,26.81
MENS,2025-09-19,162.7,26.8,65.62,454900,12.49,2.15,Gainer,,26.8
ZLAB,2024-05-09,2154.0,26.8,21.01,4134400,5.34,5.02,Gainer,,26.8
IXHL,2025-09-23,50.6,26.79,20.16,2628277,8.34,3.21,Gainer,,26.79
UNCY,2024-06-25,148.9,-26.79,5.0,603190,14.56,1.84,Loser,,26.79
PMN,2025-07-22,50.6,-26.79,20.5,587940,26.13,1.03,Loser,,26.79
BGM,2024-02-28,222.7,-26.79,2.05,9500,18.47,1.45,Loser,,26.79
CABA,2023-11-28,319.6,-26.79,13.69,15381900,13.42,2.0,Loser,,26.79
VTVT,2024-03-22,150.3,-26.79,21.23,33600,13.33,2.01,Loser,,26.79
RLMD,2025-09-02,334.4,26.79,1.42,5849700,8.69,3.08,Gainer,,26.79
TVGN,2024-01-29,53.2,-26.78,5.55,39000,10.59,2.53,Loser,,26.78
VANI,2024-03-01,99.9,-26.78,3.09,4766100,23.35,1.15,Loser,,26.78
ELDN,2024-04-18,208.6,26.75,1.99,400100,8.72,3.07,Gainer,,26.75
FENC,2024-05-14,290.0,-26.75,7.34,1105100,7.62,3.51,Loser,,26.75
NVAX,2024-02-28,1647.7,-26.74,4.41,32269300,11.89,2.25,Loser,,26.74
