ticker,event_date,drug_name,nct_id,target_large_move,feat_asset_event_sequence_num,feat_asset_trial_share,feat_cash_runway_proxy,feat_company_event_sequence_num,feat_days_to_primary_completion,feat_pipeline_depth_score,feat_pivotal_proxy_score,feat_time_since_last_asset_event,feat_time_since_last_company_event,feat_active_not_recruiting_flag,feat_blinded_flag,feat_cns_flag,feat_completed_flag,feat_oncology_flag,feat_open_label_flag,feat_primary_completion_imminent_30d,feat_primary_completion_imminent_90d,feat_rare_disease_flag,feat_recent_asset_event_flag,feat_recent_company_event_flag,feat_recent_completion_flag,feat_small_trial_flag,feat_therapeutic_superclass_CNS,feat_therapeutic_superclass_Cardiovascular,feat_therapeutic_superclass_Dermatology,feat_therapeutic_superclass_Endocrine/Metabolic,feat_therapeutic_superclass_GI/Hepatology,feat_therapeutic_superclass_Immunology,feat_therapeutic_superclass_Infectious Disease,feat_therapeutic_superclass_Musculoskeletal,feat_therapeutic_superclass_Oncology,feat_therapeutic_superclass_Respiratory,feat_completion_recency_bucket_far_180_plus,feat_completion_recency_bucket_imminent_0_30,feat_completion_recency_bucket_medium_91_180,feat_completion_recency_bucket_near1_90,feat_completion_recency_bucket_past,feat_completion_recency_bucket_unknown,split
MRK,2021-11-05,Pembrolizumab,NCT03635567,0,26,0.0,0.0476,83,332.0,0.2773,0.0,114.0,1.0,0.0,1,0,1.0,1,0,0.0,0.0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,train
CYTK,2021-11-08,Omecamtiv Mecarbil,NCT03759392,0,2,0.0,0.1095,2,0.0,0.2773,0.0,420.0,420.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train
ABBV,2021-11-08,Bimatoprost SR,NCT02507687,0,1,0.0,0.0128,58,16.0,0.2773,0.0,155.0,4.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train
NRC,2021-11-09,INCAGN01876,NCT03126110,0,1,0.0,0.1095,214,0.0,0.2773,0.0,155.0,5.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
VALN,2021-11-10,VLA2001,NCT04956224,1,2,0.0,0.1095,3,0.0,0.2773,0.0,23.0,23.0,0.0,0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,train
KNSA,2021-11-12,mavrilimumab,NCT04447469,0,2,0.0,0.1095,3,0.0,0.2773,0.0,456.0,456.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,train
SNY,2021-11-12,Dupilumab SAR231893,NCT04183335,0,2,0.0,0.1095,39,0.0,0.2773,0.0,74.0,38.0,0.0,0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,train
NVS,2021-11-12,Placebo,NCT03259074,0,1,0.0,0.1095,98,0.0,0.2773,0.0,155.0,14.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,train
NRC,2021-11-16,ALVAC-HIV (vCP2438),NCT02968849,0,2,0.0,0.1095,215,0.0,0.2773,0.0,474.0,7.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,train
NVS,2021-11-16,secukinumab 300 mg Q4W,NCT04300296,0,1,0.0,0.1095,99,0.0,0.2773,0.0,155.0,4.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,train
PFE,2021-11-16,PF-04965842 200 mg,NCT03915496,0,1,0.0,0.1095,65,0.0,0.2773,0.0,155.0,28.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,train
CRDF,2021-11-17,Onvansertib,NCT03303339,0,1,0.0,0.1095,1,0.0,0.2773,0.0,155.0,24.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
PFE,2021-11-17,PF-06882961,NCT04617275,0,1,0.0,0.1095,66,0.0,0.2773,0.0,155.0,1.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,train
GLUE,2021-11-17,Abiraterone Acetate,NCT03565835,0,1,0.0,0.1095,2,0.0,0.2773,0.0,155.0,18.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
CNTB,2021-11-18,CBP-201,NCT05017480,0,2,0.0,0.3968,2,378.0,0.2773,0.0,113.0,113.0,0.0,1,0,1.0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,train
SNY,2021-11-19,CoV2 preS dTM-AF03 (low-dose),NCT04537208,0,1,0.0,0.1095,40,0.0,0.2773,0.0,155.0,7.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,train
AZN,2021-11-22,AZD1222,NCT04568031,0,1,0.0,0.1095,50,0.0,0.2773,0.0,155.0,21.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,train
BMY,2021-11-23,Nivolumab,NCT02996110,0,42,0.0,0.1095,84,0.0,0.2773,0.0,48.0,28.0,0.0,0,0,1.0,1,0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
PFE,2021-11-24,Rimegepant,NCT04574362,0,2,0.0,0.1095,67,0.0,0.2773,0.0,715.0,7.0,0.0,0,1,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train
NRC,2021-11-25,Lenalidomide 25mg,NCT04298372,0,1,0.0,0.1095,216,0.0,0.2773,0.0,155.0,9.0,0.0,0,1,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train
ABBV,2021-11-26,risankizumab,NCT03219437,0,4,0.0,0.1095,59,0.0,0.2773,0.0,506.0,18.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,train
