ticker,event_date,v_actual_date,event_type,move_pct,atr_pct,normalized_move,close,market_cap_m,nct_id,drug_name,indication,ct_conditions,ct_phase,ct_enrollment,ct_status,ct_sponsor,ct_official_title,ct_allocation,ct_primary_completion,catalyst_type,v_is_material,data_tier,match_type,days_offset,move_class_abs,stock_movement_atr_normalized,move_class_norm,target_large_move
VRTX,2021-11-11,2021-11-11,Loser,-1.09,,,185.87,,NCT04340362,VX-147,"Glomerulosclerosis, Focal Segmental","Glomerulosclerosis, Focal Segmental",PHASE2,16,COMPLETED,Vertex Pharmaceuticals Incorporated,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NVS,2021-11-12,2021-11-12,Loser,-0.42,,,68.41,,NCT03259074,Placebo,Ankylosing Spondylitis,Ankylosing Spondylitis,PHASE3,859,COMPLETED,Novartis Pharmaceuticals,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
GLUE,2021-11-17,2021-11-17,Gainer,0.23,,,21.94,1353.3,NCT03565835,Abiraterone Acetate,Prostatic Neoplasms,Prostatic Neoplasms,PHASE2,31,COMPLETED,Montefiore Medical Center,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
PFE,2021-11-17,2021-11-17,Gainer,2.56,,,40.74,,NCT04617275,PF-06882961,Diabetes; Obesity,Diabetes; Obesity,PHASE2,151,COMPLETED,Pfizer,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
CRDF,2021-11-18,2021-11-18,Gainer,18.74,5.43,3.45,6.21,130.7,NCT03303339,Onvansertib,Acute Myeloid Leukemia,Acute Myeloid Leukemia,PHASE1/PHASE2,72,COMPLETED,Cardiff Oncology,A Phase 1b/2 Study of PCM-075 (Onvansertib) in Combination With Either Low-Dose Cytarabine or Decitabine in Subjects With Acute Myeloid Leukemia (AML),NON_RANDOMIZED,2021-11-17,Clinical Data,True,ctgov_crossmatch,ctgov_cross_match,1,High,3.451,Medium,1
MGTX,2021-11-18,2021-11-18,Loser,-0.55,,,19.76,608.5,NCT03252847,AAV5-RPGR,X-Linked Retinitis Pigmentosa,X-Linked Retinitis Pigmentosa,PHASE1/PHASE2,49,COMPLETED,MeiraGTx UK II Ltd,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
SNY,2021-11-19,2021-11-19,Gainer,0.92,,,43.13,,NCT04537208,CoV2 preS dTM-AF03 (low-dose),COVID-19 (Healthy Volunteers),COVID-19 (Healthy Volunteers),PHASE1/PHASE2,441,COMPLETED,"Sanofi Pasteur, a Sanofi Company",,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
AZN,2021-11-22,2021-11-22,Loser,-0.19,,,102.62,,NCT03990363,Verinurad,Chronic Kidney Disease,Chronic Kidney Disease,PHASE2,861,COMPLETED,AstraZeneca,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
BMY,2021-11-23,2021-11-23,Gainer,0.72,,,48.22,,NCT02996110,Nivolumab,Advanced Cancer,Advanced Cancer,PHASE2,182,COMPLETED,Bristol-Myers Squibb,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2021-11-25,2021-11-25,Loser,-4.36,,,36.9,303.8,NCT04298372,Lenalidomide 25mg,Amyloidosis Cardiac,Amyloidosis Cardiac,PHASE3,2,COMPLETED,Seoul National University Hospital,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
GLUE,2021-11-26,2021-11-26,Gainer,14.23,11.17,1.27,20.55,1353.3,NCT03883828,Chlorhexidine gluconate solution,Radiation Dermatitis,Radiation Dermatitis,PHASE2/PHASE3,80,COMPLETED,Montefiore Medical Center,Bacterial Decolonization to Prevent Radiation Dermatitis: A Randomized Controlled Trial and Quality of Life Assessment,RANDOMIZED,2021-12-02,Clinical Data,True,ctgov_crossmatch,ctgov_cross_match,6,High,1.274,Noise,0
AKBA,2021-11-26,2021-11-26,Loser,-4.3,,,2.67,347.6,NCT04313153,Vadadustat,Anemia,Anemia,PHASE3,319,COMPLETED,Akebia Therapeutics,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NVAX,2021-11-29,2021-11-29,Loser,-11.02,8.64,1.27,193.96,1647.7,NCT04533399,SARS-CoV-2 rS/Matrix-M1 Adjuvant,SARS-CoV-2 Infection; COVID-19,SARS-CoV-2 Infection; COVID-19,PHASE2,4422,COMPLETED,Novavax,"A Phase 2A/B, Randomized, Observer-blinded, Placebo-controlled Study to Evaluate the Efficacy, Immunogenicity, and Safety of a SARS-CoV-2 Recombinant Spike Protein Nanoparticle Vaccine (SARS-CoV-2 rS) With Matrix-M1™ Adjuvant in South African Adult Subjects Living Without HIV; and Safety and Immunogenicity in Adults Living With HIV",RANDOMIZED,2021-12-07,Clinical Data,True,ctgov_crossmatch,ctgov_cross_match,8,High,1.275,Noise,0
