ticker,event_date,market_cap_m,move_pct,close,volume,atr_pct,normalized_move,event_type,catalyst_type
MBOT,2021-12-27,161.9,65.13,8.95,90910300,5.22,12.48,Gainer,
VTYX,2022-09-12,1002.3,64.98,38.11,15642100,7.69,8.45,Gainer,
NVAX,2021-01-29,1647.7,64.87,220.94,36661400,6.19,10.47,Gainer,
BNTC,2022-06-24,373.4,64.86,20.74,5688418,11.32,5.73,Gainer,
CLDX,2018-04-16,1999.5,-64.65,11.4,1949547,25.39,2.55,Loser,
ATHE,2021-07-01,62.4,64.62,21.4,25398710,6.54,9.88,Gainer,
SLDB,2018-03-15,483.8,-64.58,139.8,359747,36.58,1.77,Loser,
IBIO,2020-07-20,97.4,63.94,3205.0,540279,8.71,7.34,Gainer,
GYRE,2018-06-18,793.8,-63.92,22.24,500613,25.84,2.47,Loser,
VRCA,2022-05-25,87.5,-63.85,20.1,672740,29.61,2.16,Loser,
SPRO,2022-05-03,122.3,-63.65,1.85,17612100,34.92,1.82,Loser,
ACRS,2019-09-17,311.0,63.64,1.8,33482800,8.4,7.57,Gainer,
TGTX,2022-11-10,4777.1,63.37,8.43,13150200,7.88,8.05,Gainer,
ACAD,2019-09-09,4155.1,63.24,38.85,22620300,5.44,11.63,Gainer,
WHWK,2021-07-08,165.4,63.16,41.85,16388513,6.6,9.56,Gainer,
IBIO,2020-02-04,97.4,62.96,220.0,207870,11.59,5.43,Gainer,
GERN,2018-09-27,1072.4,-62.92,2.31,84392000,31.73,1.98,Loser,
EDAP,2018-06-08,163.4,62.9,3.6,33490400,5.63,11.18,Gainer,
MREO,2020-12-18,59.0,62.9,3.6,86879100,7.67,8.2,Gainer,
DVAX,2021-02-01,1820.1,62.76,10.27,107218319,6.5,9.66,Gainer,
NRXP,2021-07-22,55.1,62.71,164.5,5837630,12.1,5.18,Gainer,
NVAX,2020-05-12,1647.7,62.53,39.82,74649600,8.52,7.34,Gainer,
MREO,2022-06-17,59.0,62.5,1.3,137044600,8.74,7.15,Gainer,
IMMX,2022-01-03,427.3,62.36,5.78,148554800,,,Gainer,
CGTX,2022-08-04,96.2,62.16,3.6,21459800,13.49,4.61,Gainer,
YI,2019-09-10,68.6,62.01,4.99,1882600,7.69,8.07,Gainer,
PTGX,2021-09-17,5756.4,-62.0,17.53,12499000,18.46,3.36,Loser,
ANVS,2021-02-02,71.0,61.95,16.6,1565000,6.34,9.77,Gainer,
MCRB,2021-07-22,79.1,-61.83,159.0,671585,23.72,2.61,Loser,
GLSI,2021-03-08,384.0,61.74,37.2,7232300,11.57,5.34,Gainer,
IXHL,2022-03-14,50.6,61.72,2748.0,224,,,Gainer,
IMDX,2018-03-29,172.4,61.54,42.0,63135,15.89,3.87,Gainer,
OCGN,2021-02-05,595.7,61.54,5.25,364424800,10.47,5.88,Gainer,
PALI,2022-12-30,264.1,61.49,78.0,6026540,12.4,4.96,Gainer,
SYRE,2022-10-28,3378.0,61.4,23.0,1726804,7.81,7.86,Gainer,
BYSI,2021-12-01,55.5,-61.39,4.93,24439600,29.15,2.11,Loser,
MSLE,2021-10-12,256.9,61.37,15.49,150,7.48,8.21,Gainer,
NRXP,2020-12-21,55.1,61.31,246.0,40780,7.48,8.2,Gainer,
OCGN,2020-07-21,595.7,61.29,0.4,218196700,7.95,7.71,Gainer,
IXHL,2022-03-16,50.6,-61.13,1656.0,24638,,,Loser,
NRXP,2021-10-12,55.1,61.06,109.2,1918210,9.16,6.66,Gainer,
MBOT,2019-12-24,161.9,61.03,16.28,23852800,7.77,7.86,Gainer,
VIR,2020-02-26,1264.6,60.95,34.97,3955900,8.97,6.8,Gainer,
NKTR,2022-03-14,1930.0,-60.87,62.4,1743373,21.91,2.78,Loser,
ATHE,2020-03-11,62.4,60.71,9.0,75870,10.22,5.94,Gainer,
MSLE,2020-12-29,256.9,60.71,10.8,21,9.78,6.21,Gainer,
INDV,2019-04-10,4090.8,-60.66,2.4,71680,17.7,3.43,Loser,
OABI,2022-11-02,247.6,-60.65,2.41,20993700,33.54,1.81,Loser,
NUVL,2022-10-28,7917.2,60.64,35.34,4685000,7.09,8.56,Gainer,
CLDX,2020-06-10,1999.5,60.54,4.8,23143400,7.07,8.56,Gainer,
PCVX,2022-10-24,8965.0,60.35,33.0,14494400,6.31,9.56,Gainer,
ANVS,2021-07-29,71.0,-60.25,43.5,7146500,36.79,1.64,Loser,
RIGL,2022-06-08,630.6,-60.23,7.0,6149720,27.71,2.17,Loser,
OLMA,2021-11-30,1939.9,-60.02,8.75,10707500,31.45,1.91,Loser,
GLTO,2021-06-10,1781.9,60.0,200.0,618160,10.49,5.72,Gainer,
ORGO,2019-01-17,407.4,-59.85,55.0,10500,50.91,1.18,Loser,
CRBP,2022-11-30,150.4,59.84,5.85,3993843,7.64,7.83,Gainer,
MSLE,2018-09-06,256.9,59.7,25.68,55,7.48,7.99,Gainer,
ORIC,2022-12-22,1309.9,59.67,4.79,29330900,9.35,6.38,Gainer,
SAVA,2019-12-23,110.1,59.56,3.59,31792683,8.5,7.01,Gainer,
MDXG,2021-09-13,724.2,-59.56,6.28,16748300,17.05,3.49,Loser,
ABUS,2019-10-31,896.2,59.55,1.42,9947500,9.26,6.43,Gainer,
NVAX,2018-01-10,1647.7,59.4,42.4,4346135,,,Gainer,
ALT,2018-09-20,539.7,59.36,26.23,2412800,10.77,5.51,Gainer,
MDXG,2018-12-06,724.2,-59.32,1.2,29265900,56.79,1.04,Loser,
DBVT,2018-12-20,1153.6,-59.29,11.52,8311650,20.24,2.93,Loser,
MSLE,2018-06-13,256.9,59.09,8.4,102,4.71,12.53,Gainer,
KALV,2022-10-04,822.9,-58.92,5.85,5571500,20.44,2.88,Loser,
COGT,2022-06-10,6305.7,58.67,7.87,106374200,8.18,7.18,Gainer,
SAVA,2021-02-03,110.1,58.64,87.95,54517332,7.45,7.87,Gainer,
PTGX,2018-08-06,5756.4,58.63,11.12,5200100,5.8,10.11,Gainer,
SVRA,2019-10-02,1224.9,-58.47,1.03,3689500,28.0,2.09,Loser,
CORT,2020-09-02,3797.6,58.45,19.87,88404100,4.91,11.91,Gainer,
PETS,2021-06-02,58.6,58.39,40.28,11083700,4.15,14.08,Gainer,
PYPD,2022-09-12,77.4,58.33,51.3,1339597,36.79,1.59,Gainer,
NRXP,2022-05-26,55.1,-58.19,5.77,1761370,34.18,1.7,Loser,
NERV,2022-08-26,285.6,58.19,10.33,66256000,11.64,5.0,Gainer,
SLGL,2019-12-30,255.4,58.18,146.0,211420,7.1,8.19,Gainer,
IBIO,2022-12-07,97.4,-58.13,13.4,151890,25.0,2.33,Loser,
SLS,2019-06-14,839.5,-57.89,8.0,606936,54.69,1.06,Loser,
CNTB,2022-05-04,138.1,-57.73,0.82,4722600,27.54,2.1,Loser,
CNTB,2021-11-19,138.1,-57.72,5.12,6279500,27.36,2.11,Loser,
MSLE,2018-06-19,256.9,57.5,15.12,42,4.76,12.07,Gainer,
CRMD,2022-08-09,561.8,-57.45,3.2,5001300,21.41,2.68,Loser,
PTGX,2018-03-26,5756.4,-57.17,8.75,4733900,23.94,2.39,Loser,
MSLE,2019-02-22,256.9,57.14,13.2,52,6.91,8.27,Gainer,
ATHE,2020-07-01,62.4,57.14,18.7,4623990,7.91,7.22,Gainer,
ALEC,2021-07-02,265.2,57.12,35.21,39111100,6.67,8.56,Gainer,
PGEN,2020-03-19,1341.0,57.06,2.56,2569600,16.84,3.39,Gainer,
TRVI,2022-04-07,1528.5,56.84,2.98,21419400,11.18,5.08,Gainer,
TLSA,2020-04-09,184.5,56.68,1.36,19640891,15.03,3.77,Gainer,
IMUX,2022-10-10,122.7,56.57,6.2,47085400,7.08,7.99,Gainer,
SAVA,2018-10-04,110.1,-56.55,1.26,25526529,19.45,2.91,Loser,
FBRX,2020-03-06,378.6,56.52,1080.0,17551,13.14,4.3,Gainer,
LCTX,2019-01-29,442.2,56.18,1.39,10069200,9.17,6.12,Gainer,
IBRX,2020-12-21,9633.0,56.14,16.02,37616700,8.93,6.29,Gainer,
NRXP,2020-12-22,55.1,55.93,383.6,255190,11.63,4.81,Gainer,
OVID,2020-12-02,116.1,-55.86,2.93,12524000,19.65,2.84,Loser,
OCGN,2019-04-08,595.7,55.86,10.38,1933087,12.46,4.48,Gainer,
CLYM,2022-04-25,487.5,-55.76,2.88,2441200,21.2,2.63,Loser,
DBVT,2020-03-17,1153.6,-55.7,4.66,2343400,36.65,1.52,Loser,
ASRT,2019-12-12,74.8,55.7,73.8,338025,7.28,7.65,Gainer,
MREO,2020-06-04,59.0,55.61,3.05,3869500,8.84,6.29,Gainer,
ELTX,2021-10-27,224.2,-55.58,38.6,298290,20.55,2.7,Loser,
MSLE,2018-01-08,256.9,55.56,10.08,198,,,Gainer,
SPRO,2022-09-06,122.3,55.43,1.13,80518300,13.61,4.07,Gainer,
OMER,2020-03-03,854.4,55.36,19.56,7827800,4.88,11.33,Gainer,
WVE,2019-12-16,2587.6,-55.35,16.79,4438300,19.08,2.9,Loser,
MSLE,2022-11-29,256.9,55.17,2.16,1667,5.03,10.97,Gainer,
IXHL,2022-03-15,50.6,55.02,4260.0,9046,,,Gainer,
FHTX,2021-12-13,332.7,54.96,18.58,23788000,8.72,6.3,Gainer,
MDXG,2018-11-19,724.2,54.9,3.95,11161500,14.46,3.8,Gainer,
QTRX,2022-08-09,306.0,-54.76,7.46,11963000,21.36,2.56,Loser,
NGNE,2019-12-09,363.9,54.68,125.6,108780,9.52,5.75,Gainer,
MYGN,2019-08-01,429.7,54.46,45.01,10968400,4.3,12.67,Gainer,
VANI,2020-12-01,99.9,54.32,4.5,23044067,9.21,5.9,Gainer,
CNTB,2022-03-18,138.1,54.21,4.95,301700,8.97,6.05,Gainer,
ARCT,2020-12-29,233.8,-54.17,42.36,15683700,37.58,1.44,Loser,
ONCY,2019-12-26,121.6,54.1,2.82,3527500,7.52,7.2,Gainer,
ALT,2018-10-05,539.7,54.04,7.24,11963600,57.69,0.94,Gainer,
FULC,2020-03-13,558.1,53.99,16.03,110300,17.43,3.1,Gainer,
MNOV,2021-03-10,71.3,53.87,8.74,27705200,5.64,9.56,Gainer,
CRBP,2018-09-20,150.4,53.62,238.5,615213,5.89,9.1,Gainer,
KALA,2022-12-30,346.3,53.58,38.15,18851600,7.44,7.2,Gainer,
IOVA,2022-05-27,1532.3,-53.57,7.02,36758800,21.83,2.45,Loser,
