ticker,event_date,move_pct,atr_pct,normalized_move,event_type,market_cap_m,match_type,catalyst_type
PTGX,2020-05-08,83.7,6.64,12.6,Gainer,5756.4,unmatched,
TNXP,2018-11-29,83.42,13.82,6.04,Gainer,178.6,unmatched,
RCKT,2020-12-09,83.39,6.09,13.68,Gainer,542.2,unmatched,
PGEN,2020-06-02,83.33,9.41,8.86,Gainer,1341.0,unmatched,
RZLT,2019-05-20,83.33,9.6,8.68,Gainer,307.2,unmatched,
MSLE,2018-04-18,82.61,6.79,12.17,Gainer,256.9,unmatched,
MSLE,2018-06-20,82.54,4.83,17.1,Gainer,256.9,unmatched,
CLDX,2020-06-11,82.5,7.13,11.56,Gainer,1999.5,unmatched,
FBRX,2021-09-03,-82.3,62.51,1.32,Loser,378.6,unmatched,
ORKA,2018-10-01,82.14,6.13,13.41,Gainer,1665.8,unmatched,
PALI,2022-11-22,81.9,22.14,3.7,Gainer,264.1,unmatched,
HYFT,2020-02-21,81.16,9.97,8.14,Gainer,52.8,unmatched,
CRVS,2020-07-07,80.84,8.84,9.14,Gainer,1529.6,unmatched,
ORGO,2019-01-10,80.75,15.45,5.23,Gainer,407.4,unmatched,
KOD,2022-02-23,-80.42,66.66,1.21,Loser,1636.1,unmatched,
SYRE,2022-08-19,80.2,7.21,11.13,Gainer,3378.0,unmatched,
OCGN,2021-02-02,80.11,12.34,6.49,Gainer,595.7,unmatched,
RLMD,2022-10-13,-79.57,51.51,1.54,Loser,334.4,unmatched,
DBVT,2022-06-09,79.56,5.55,14.32,Gainer,1153.6,unmatched,
IRD,2020-02-11,79.41,6.2,12.8,Gainer,286.9,unmatched,
IVVD,2021-12-14,-78.81,118.88,0.66,Loser,476.6,unmatched,
AUPH,2019-12-05,78.78,6.15,12.82,Gainer,1868.2,unmatched,
PRAX,2022-06-06,-78.11,71.66,1.09,Loser,9341.1,unmatched,
VTVT,2018-04-10,-78.1,74.51,1.05,Loser,150.3,unmatched,
LXRX,2020-12-08,78.03,8.91,8.76,Gainer,614.3,unmatched,
KRRO,2021-03-23,-77.98,67.02,1.16,Loser,114.2,unmatched,
PALI,2022-12-29,77.9,12.72,6.13,Gainer,264.1,unmatched,
PLX,2019-10-17,77.78,10.16,7.66,Gainer,231.6,unmatched,
FBRX,2019-09-12,-77.75,58.72,1.32,Loser,378.6,unmatched,
SAVA,2018-08-15,77.48,13.36,5.8,Gainer,110.1,unmatched,
IMUX,2022-10-21,-77.39,67.44,1.15,Loser,122.7,unmatched,
MBOT,2019-12-23,77.37,7.73,10.0,Gainer,161.9,unmatched,
DWTX,2022-09-19,-77.19,42.37,1.82,Loser,91.4,unmatched,
ANVS,2020-07-07,76.56,12.68,6.04,Gainer,71.0,unmatched,
MSLE,2019-07-30,76.19,2.91,26.22,Gainer,256.9,unmatched,
CRBP,2020-09-08,-75.89,41.5,1.83,Loser,150.4,unmatched,
IMNM,2021-02-18,75.56,10.58,7.14,Gainer,2411.9,unmatched,
DWTX,2022-09-20,-75.5,184.11,0.41,Loser,91.4,unmatched,
NERV,2022-08-04,75.37,9.19,8.21,Gainer,285.6,unmatched,
XBIT,2019-12-09,75.36,8.44,8.93,Gainer,68.9,unmatched,
CNTN,2022-06-13,75.32,13.84,5.44,Gainer,200.4,unmatched,
SVRA,2019-06-13,-75.21,32.47,2.32,Loser,1224.9,unmatched,
GOSS,2022-12-06,-74.6,39.34,1.9,Loser,98.3,unmatched,
SLDB,2019-11-12,-74.36,43.06,1.73,Loser,483.8,unmatched,
VIR,2021-01-26,74.32,5.79,12.84,Gainer,1264.6,unmatched,
HELP,2020-05-22,-74.07,24.46,3.03,Loser,366.7,unmatched,
HELP,2020-03-10,-73.98,14.22,5.2,Loser,366.7,unmatched,
ARDX,2021-07-20,-73.9,29.87,2.47,Loser,1591.5,unmatched,
VKTX,2022-12-19,73.88,5.14,14.37,Gainer,3910.4,unmatched,
SAVA,2020-05-15,-73.86,55.87,1.32,Loser,110.1,unmatched,
ARMP,2020-01-28,73.84,9.49,7.78,Gainer,391.7,unmatched,
MSLE,2020-04-07,73.68,12.42,5.93,Gainer,256.9,unmatched,
AKBA,2020-09-03,-73.5,35.72,2.06,Loser,347.6,unmatched,
SLS,2020-12-09,73.17,6.62,11.05,Gainer,839.5,unmatched,
CABA,2021-12-14,-73.14,46.18,1.58,Loser,319.6,unmatched,
PTGX,2019-12-04,72.92,15.65,4.66,Gainer,5756.4,unmatched,
DRUG,2022-08-22,72.8,21.52,3.38,Gainer,820.4,unmatched,
IVA,2022-10-07,72.79,9.5,7.66,Gainer,1348.2,unmatched,
OCGN,2018-09-05,-72.56,32.91,2.2,Loser,595.7,unmatched,
KOD,2019-12-02,72.47,8.81,8.22,Gainer,1636.1,unmatched,
OCGN,2018-12-24,-72.34,58.81,1.23,Loser,595.7,unmatched,
VIR,2020-02-27,72.12,8.03,8.98,Gainer,1264.6,unmatched,
GRCE,2020-12-23,72.0,12.21,5.9,Gainer,66.4,unmatched,
ORKA,2018-02-26,-71.88,38.44,1.87,Loser,1665.8,unmatched,
ANAB,2019-11-08,-71.85,29.54,2.43,Loser,1539.9,unmatched,
ELVN,2022-09-07,71.79,5.31,13.51,Gainer,1762.0,unmatched,
HELP,2020-05-04,71.7,2.2,32.62,Gainer,366.7,unmatched,
EOLS,2021-02-19,71.65,10.28,6.97,Gainer,278.7,unmatched,
SAVA,2018-06-27,-71.45,32.1,2.23,Loser,110.1,unmatched,
QIPT,2018-02-12,-71.41,12.49,5.72,Loser,161.4,unmatched,
WHWK,2019-03-18,-71.29,46.25,1.54,Loser,165.4,unmatched,
ARDX,2019-09-03,71.18,6.52,10.92,Gainer,1591.5,unmatched,
NVAX,2020-01-21,71.08,5.16,13.77,Gainer,1647.7,unmatched,
ENTX,2021-03-12,70.79,11.14,6.36,Gainer,63.7,unmatched,
LPCN,2019-11-11,-70.7,37.18,1.9,Loser,55.3,unmatched,
OCGN,2019-09-30,-70.68,80.05,0.88,Loser,595.7,unmatched,
AMRN,2020-03-31,-70.54,48.95,1.44,Loser,286.9,unmatched,
CRDF,2019-10-22,70.48,11.62,6.07,Gainer,130.7,unmatched,
SLDB,2020-10-01,70.44,10.49,6.71,Gainer,483.8,unmatched,
IMUX,2018-09-18,70.24,185.42,0.38,Gainer,122.7,unmatched,
TNXP,2020-03-20,70.18,30.21,2.32,Gainer,178.6,unmatched,
MSLE,2022-10-31,-70.15,23.27,3.01,Loser,256.9,unmatched,
VTVT,2018-10-03,70.0,10.05,6.97,Gainer,150.3,unmatched,
KPTI,2020-03-02,69.65,6.29,11.06,Gainer,172.6,unmatched,
NERV,2022-10-17,-69.55,34.53,2.01,Loser,285.6,unmatched,
SNDX,2020-04-28,69.42,7.38,9.4,Gainer,1886.9,unmatched,
ASMB,2020-11-06,-69.37,28.45,2.44,Loser,472.0,unmatched,
CBIO,2019-08-05,-69.33,-31.05,-2.23,Loser,368.1,unmatched,
PRTA,2018-04-23,-68.78,32.67,2.11,Loser,466.7,unmatched,
OMER,2022-07-01,68.73,8.56,8.03,Gainer,854.4,unmatched,
ARCT,2021-08-03,68.06,5.61,12.14,Gainer,233.8,unmatched,
SLDB,2019-02-07,-67.82,38.05,1.78,Loser,483.8,unmatched,
OCGN,2021-01-04,67.76,11.77,5.76,Gainer,595.7,unmatched,
SAVA,2020-06-03,67.65,28.1,2.41,Gainer,110.1,unmatched,
PACB,2018-11-02,67.63,5.39,12.55,Gainer,507.2,unmatched,
LPCN,2020-02-24,67.03,6.11,10.97,Gainer,55.3,unmatched,
NVAX,2019-02-28,-66.67,24.51,2.72,Loser,1647.7,unmatched,
OCGN,2020-07-27,66.58,9.39,7.09,Gainer,595.7,unmatched,
NERV,2022-08-24,66.52,12.3,5.41,Gainer,285.6,unmatched,
LONA,2022-06-22,-66.27,29.21,2.27,Loser,52.6,unmatched,
GRCE,2020-08-31,-66.2,32.29,2.05,Loser,66.4,unmatched,
AKBA,2022-03-30,-66.02,34.87,1.89,Loser,347.6,unmatched,
SYRE,2022-11-30,-65.98,42.73,1.54,Loser,3378.0,unmatched,
GYRE,2019-12-19,65.83,5.15,12.78,Gainer,793.8,unmatched,
TNXP,2018-07-27,-65.82,32.85,2.0,Loser,178.6,unmatched,
GRCE,2020-01-13,-65.14,57.17,1.14,Loser,66.4,unmatched,
MBOT,2021-12-27,65.13,5.22,12.48,Gainer,161.9,unmatched,
VTYX,2022-09-12,64.98,7.69,8.45,Gainer,1002.3,unmatched,
NVAX,2021-01-29,64.87,6.19,10.47,Gainer,1647.7,unmatched,
BNTC,2022-06-24,64.86,11.32,5.73,Gainer,373.4,unmatched,
CLDX,2018-04-16,-64.65,25.39,2.55,Loser,1999.5,unmatched,
ATHE,2021-07-01,64.62,6.54,9.88,Gainer,62.4,unmatched,
SLDB,2018-03-15,-64.58,36.58,1.77,Loser,483.8,unmatched,
IBIO,2020-07-20,63.94,8.71,7.34,Gainer,97.4,unmatched,
GYRE,2018-06-18,-63.92,25.84,2.47,Loser,793.8,unmatched,
VRCA,2022-05-25,-63.85,29.61,2.16,Loser,87.5,unmatched,
SPRO,2022-05-03,-63.65,34.92,1.82,Loser,122.3,unmatched,
ACRS,2019-09-17,63.64,8.4,7.57,Gainer,311.0,unmatched,
ACAD,2019-09-09,63.24,5.44,11.63,Gainer,4155.1,unmatched,
WHWK,2021-07-08,63.16,6.6,9.56,Gainer,165.4,unmatched,
IBIO,2020-02-04,62.96,11.59,5.43,Gainer,97.4,unmatched,
GERN,2018-09-27,-62.92,31.73,1.98,Loser,1072.4,unmatched,
EDAP,2018-06-08,62.9,5.63,11.18,Gainer,163.4,unmatched,
MREO,2020-12-18,62.9,7.67,8.2,Gainer,59.0,unmatched,
DVAX,2021-02-01,62.76,6.5,9.66,Gainer,1820.1,unmatched,
NRXP,2021-07-22,62.71,12.1,5.18,Gainer,55.1,unmatched,
NVAX,2020-05-12,62.53,8.52,7.34,Gainer,1647.7,unmatched,
MREO,2022-06-17,62.5,8.74,7.15,Gainer,59.0,unmatched,
IMMX,2022-01-03,62.36,,,Gainer,427.3,unmatched,
YI,2019-09-10,62.01,7.69,8.07,Gainer,68.6,unmatched,
PTGX,2021-09-17,-62.0,18.46,3.36,Loser,5756.4,unmatched,
ANVS,2021-02-02,61.95,6.34,9.77,Gainer,71.0,unmatched,
MCRB,2021-07-22,-61.83,23.72,2.61,Loser,79.1,unmatched,
GLSI,2021-03-08,61.74,11.57,5.34,Gainer,384.0,unmatched,
IXHL,2022-03-14,61.72,,,Gainer,50.6,unmatched,
IMDX,2018-03-29,61.54,15.89,3.87,Gainer,172.4,unmatched,
OCGN,2021-02-05,61.54,10.47,5.88,Gainer,595.7,unmatched,
PALI,2022-12-30,61.49,12.4,4.96,Gainer,264.1,unmatched,
SYRE,2022-10-28,61.4,7.81,7.86,Gainer,3378.0,unmatched,
BYSI,2021-12-01,-61.39,29.15,2.11,Loser,55.5,unmatched,
MSLE,2021-10-12,61.37,7.48,8.21,Gainer,256.9,unmatched,
NRXP,2020-12-21,61.31,7.48,8.2,Gainer,55.1,unmatched,
OCGN,2020-07-21,61.29,7.95,7.71,Gainer,595.7,unmatched,
IXHL,2022-03-16,-61.13,,,Loser,50.6,unmatched,
NRXP,2021-10-12,61.06,9.16,6.66,Gainer,55.1,unmatched,
MBOT,2019-12-24,61.03,7.77,7.86,Gainer,161.9,unmatched,
VIR,2020-02-26,60.95,8.97,6.8,Gainer,1264.6,unmatched,
NKTR,2022-03-14,-60.87,21.91,2.78,Loser,1930.0,unmatched,
ATHE,2020-03-11,60.71,10.22,5.94,Gainer,62.4,unmatched,
MSLE,2020-12-29,60.71,9.78,6.21,Gainer,256.9,unmatched,
INDV,2019-04-10,-60.66,17.7,3.43,Loser,4090.8,unmatched,
OABI,2022-11-02,-60.65,33.54,1.81,Loser,247.6,unmatched,
NUVL,2022-10-28,60.64,7.09,8.56,Gainer,7917.2,unmatched,
CLDX,2020-06-10,60.54,7.07,8.56,Gainer,1999.5,unmatched,
PCVX,2022-10-24,60.35,6.31,9.56,Gainer,8965.0,unmatched,
ANVS,2021-07-29,-60.25,36.79,1.64,Loser,71.0,unmatched,
RIGL,2022-06-08,-60.23,27.71,2.17,Loser,630.6,unmatched,
OLMA,2021-11-30,-60.02,31.45,1.91,Loser,1939.9,unmatched,
GLTO,2021-06-10,60.0,10.49,5.72,Gainer,1781.9,unmatched,
ORGO,2019-01-17,-59.85,50.91,1.18,Loser,407.4,unmatched,
CRBP,2022-11-30,59.84,7.64,7.83,Gainer,150.4,unmatched,
MSLE,2018-09-06,59.7,7.48,7.99,Gainer,256.9,unmatched,
ORIC,2022-12-22,59.67,9.35,6.38,Gainer,1309.9,unmatched,
SAVA,2019-12-23,59.56,8.5,7.01,Gainer,110.1,unmatched,
